epoch,loss
1,0.228048
2,0.204505
3,0.157823
4,0.0938987
5,0.0442174
6,0.0235523
7,0.0177791
8,0.0160392
9,0.0152221
10,0.0146578
11,0.0141893
12,0.0137711
13,0.013387
14,0.0130296
15,0.0126952
16,0.0123808
17,0.0120846
18,0.0118047
19,0.0115397
20,0.0112882
21,0.011049
22,0.0108213
23,0.010604
24,0.0103963
25,0.0101975
26,0.0100069
27,0.00982397
28,0.0096481
29,0.00947882
30,0.00931566
31,0.00915822
32,0.00900612
33,0.00885901
34,0.00871657
35,0.00857851
36,0.00844455
37,0.00831445
38,0.00818796
39,0.00806489
40,0.00794501
41,0.00782815
42,0.00771413
43,0.00760278
44,0.00749396
45,0.00738751
46,0.00728331
47,0.00718123
48,0.00708114
49,0.00698294
50,0.00688652
51,0.00679177
52,0.00669861
53,0.00660695
54,0.00651669
55,0.00642777
56,0.00634009
57,0.00625359
58,0.00616821
59,0.00608387
60,0.00600051
61,0.00591807
62,0.00583649
63,0.00575573
64,0.00567572
65,0.00559642
66,0.00551778
67,0.00543976
68,0.00536231
69,0.0052854
70,0.00520897
71,0.00513301
72,0.00505746
73,0.00498229
74,0.00490749
75,0.004833
76,0.00475881
77,0.00468489
78,0.00461121
79,0.00453775
80,0.00446448
81,0.00439139
82,0.00431846
83,0.00424567
84,0.004173
85,0.00410044
86,0.00402797
87,0.0039556
88,0.0038833
89,0.00381107
90,0.00373891
91,0.00366682
92,0.00359478
93,0.00352281
94,0.0034509
95,0.00337907
96,0.00330731
97,0.00323564
98,0.00316407
99,0.00309261
100,0.00302128
101,0.00295009
102,0.00287908
103,0.00280825
104,0.00273764
105,0.00266728
106,0.00259719
107,0.0025274
108,0.00245796
109,0.0023889
110,0.00232025
111,0.00225207
112,0.00218439
113,0.00211725
114,0.00205071
115,0.00198481
116,0.0019196
117,0.00185514
118,0.00179147
119,0.00172865
120,0.00166672
121,0.00160575
122,0.00154578
123,0.00148686
124,0.00142905
125,0.0013724
126,0.00131695
127,0.00126275
128,0.00120984
129,0.00115827
130,0.00110807
131,0.00105928
132,0.00101193
133,0.000966043
134,0.000921649
135,0.000878765
136,0.000837405
137,0.000797582
138,0.000759299
139,0.000722559
140,0.000687359
141,0.00065369
142,0.00062154
143,0.000590891
144,0.000561724
145,0.000534013
146,0.000507729
147,0.000482841
148,0.000459312
149,0.000437105
150,0.00041618
151,0.000396493
152,0.000378
153,0.000360654
154,0.00034441
155,0.000329219
156,0.000315032
157,0.000301802
158,0.00028948
159,0.000278019
160,0.00026737
161,0.000257489
162,0.000248329
163,0.000239847
164,0.000232001
165,0.000224748
166,0.00021805
167,0.000211869
168,0.00020617
169,0.000200916
170,0.000196077
171,0.000191621
172,0.000187519
173,0.000183745
174,0.000180272
175,0.000177076
176,0.000174135
177,0.000171429
178,0.000168937
179,0.000166643
180,0.000164528
181,0.000162579
182,0.000160779
183,0.000159118
184,0.000157581
185,0.000156159
186,0.000154841
187,0.000153618
188,0.000152481
189,0.000151423
190,0.000150436
191,0.000149514
192,0.00014865
193,0.00014784
194,0.000147079
195,0.000146362
196,0.000145684
197,0.000145043
198,0.000144435
199,0.000143857
200,0.000143306
201,0.00014278
202,0.000142277
203,0.000141793
204,0.000141328
205,0.000140881
206,0.000140448
207,0.00014003
208,0.000139624
209,0.00013923
210,0.000138846
211,0.000138472
212,0.000138107
213,0.000137751
214,0.000137401
215,0.000137059
216,0.000136723
217,0.000136393
218,0.000136068
219,0.000135748
220,0.000135433
221,0.000135122
222,0.000134814
223,0.000134511
224,0.000134211
225,0.000133914
226,0.000133621
227,0.00013333
228,0.000133042
229,0.000132756
230,0.000132473
231,0.000132192
232,0.000131913
233,0.000131636
234,0.000131361
235,0.000131088
236,0.000130817
237,0.000130548
238,0.00013028
239,0.000130014
240,0.000129749
241,0.000129486
242,0.000129224
243,0.000128964
244,0.000128705
245,0.000128447
246,0.000128191
247,0.000127935
248,0.000127681
249,0.000127429
250,0.000127177
251,0.000126927
252,0.000126677
253,0.000126429
254,0.000126182
255,0.000125936
256,0.000125691
257,0.000125447
258,0.000125204
259,0.000124963
260,0.000124722
261,0.000124482
262,0.000124243
263,0.000124005
264,0.000123768
265,0.000123532
266,0.000123297
267,0.000123062
268,0.000122829
269,0.000122597
270,0.000122365
271,0.000122135
272,0.000121905
273,0.000121676
274,0.000121448
275,0.000121221
276,0.000120994
277,0.000120769
278,0.000120544
279,0.00012032
280,0.000120097
281,0.000119875
282,0.000119654
283,0.000119433
284,0.000119213
285,0.000118994
286,0.000118776
287,0.000118559
288,0.000118342
289,0.000118126
290,0.000117911
291,0.000117697
292,0.000117483
293,0.00011727
294,0.000117058
295,0.000116847
296,0.000116636
297,0.000116427
298,0.000116217
299,0.000116009
300,0.000115801
301,0.000115594
302,0.000115388
303,0.000115183
304,0.000114978
305,0.000114774
306,0.00011457
307,0.000114367
308,0.000114165
309,0.000113964
310,0.000113763
311,0.000113563
312,0.000113364
313,0.000113165
314,0.000112967
315,0.00011277
316,0.000112573
317,0.000112377
318,0.000112182
319,0.000111987
320,0.000111793
321,0.0001116
322,0.000111407
323,0.000111215
324,0.000111023
325,0.000110832
326,0.000110642
327,0.000110452
328,0.000110263
329,0.000110075
330,0.000109887
331,0.0001097
332,0.000109514
333,0.000109328
334,0.000109142
335,0.000108957
336,0.000108773
337,0.00010859
338,0.000108407
339,0.000108224
340,0.000108043
341,0.000107861
342,0.000107681
343,0.000107501
344,0.000107321
345,0.000107142
346,0.000106964
347,0.000106786
348,0.000106609
349,0.000106433
350,0.000106256
351,0.000106081
352,0.000105906
353,0.000105732
354,0.000105558
355,0.000105384
356,0.000105212
357,0.000105039
358,0.000104868
359,0.000104697
360,0.000104526
361,0.000104356
362,0.000104186
363,0.000104017
364,0.000103849
365,0.000103681
366,0.000103513
367,0.000103346
368,0.00010318
369,0.000103014
370,0.000102848
371,0.000102684
372,0.000102519
373,0.000102355
374,0.000102192
375,0.000102029
376,0.000101867
377,0.000101705
378,0.000101543
379,0.000101382
380,0.000101222
381,0.000101062
382,0.000100902
383,0.000100743
384,0.000100585
385,0.000100427
386,0.000100269
387,0.000100112
388,9.99556e-005
389,9.97994e-005
390,9.96438e-005
391,9.94885e-005
392,9.93338e-005
